     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  AA       1179     3.071514    0.593778  0.000190   0.001897   0.002351
  AB      14007     4.146345    0.801562  0.002260   0.022538   0.019862
  AC       9770     3.989895    0.771317  0.001576   0.015721   0.014673
  A›       6047     3.781540    0.731039  0.000976   0.009730   0.009757
  AD      29078     4.463564    0.862886  0.004691   0.046789   0.036290
  AE         48     1.681241    0.325014  0.000008   0.000077   0.000131
  AF       5828     3.765520    0.727942  0.000940   0.009378   0.009454
  AG        230     2.361728    0.456564  0.000037   0.000370   0.000546
  A!      16407     4.215029    0.814840  0.002647   0.026400   0.022661
  AH      14498     4.161308    0.804455  0.002339   0.023328   0.020442
  AI         46     1.662758    0.321441  0.000007   0.000074   0.000126
  A$       2157     3.333850    0.644492  0.000348   0.003471   0.003998
  AJ        129     2.110590    0.408014  0.000021   0.000208   0.000324
  AK      44444     4.647813    0.898505  0.007170   0.071514   0.051078
  AL      43150     4.634981    0.896024  0.006961   0.069432   0.049888
  AM      28341     4.452415    0.860731  0.004572   0.045603   0.035539
  AN      81689     4.912164    0.949608  0.013179   0.131444   0.082309
  AO         77     1.886491    0.364692  0.000012   0.000124   0.000202
  A#          1     0.000000    0.000000  0.000000   0.000002   0.000004
  AP      10498     4.021107    0.777351  0.001694   0.016892   0.015591
  AR      98288     4.992500    0.965139  0.015857   0.158153   0.094803
  AS      21287     4.328115    0.836701  0.003434   0.034252   0.028112
  A@      22171     4.345785    0.840117  0.003577   0.035675   0.029069
  AT      20663     4.315193    0.834203  0.003334   0.033248   0.027431
  AU         30     1.477121    0.285554  0.000005   0.000048   0.000085
  A"          8     0.903090    0.174583  0.000001   0.000013   0.000025
  AV       7506     3.875409    0.749185  0.001211   0.012078   0.011733
  AY      29133     4.464385    0.863045  0.004700   0.046877   0.036345
  AZ      13515     4.130816    0.798560  0.002180   0.021747   0.019277
  Ab      101250     5.005395    0.967632  0.016334   0.162919   0.096960

  BA      33666     4.527192    0.875186  0.005431   0.214149   0.040867
  BB        220     2.342423    0.452832  0.000035   0.001399   0.000525
  BC          4     0.602060    0.116389  0.000001   0.000025   0.000013
  B›          2     0.301030    0.058194  0.000000   0.000013   0.000007
  BD         96     1.982271    0.383208  0.000015   0.000611   0.000247
  BE      23654     4.373905    0.845553  0.003816   0.150463   0.030657
  BF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  BG          2     0.301030    0.058194  0.000000   0.000013   0.000007
  B!          1     0.000000    0.000000  0.000000   0.000006   0.000004
  BH          1     0.000000    0.000000  0.000000   0.000006   0.000004
  BI       2593     3.413803    0.659949  0.000418   0.016494   0.004695
  B$      60204     4.779625    0.923986  0.009713   0.382958   0.064938
  BJ          4     0.602060    0.116389  0.000001   0.000025   0.000013
  BK          7     0.845098    0.163372  0.000001   0.000045   0.000022
  BL        390     2.591065    0.500899  0.000063   0.002481   0.000878
  BM          0     0.000000    0.000000  0.000000   0.000000   0.000000
  BN         17     1.230449    0.237868  0.000003   0.000108   0.000051
  BO       3995     3.601517    0.696237  0.000645   0.025412   0.006831
  B#       2556     3.407561    0.658742  0.000412   0.016259   0.004636
  BP          0     0.000000    0.000000  0.000000   0.000000   0.000000
  BR        405     2.607455    0.504067  0.000065   0.002576   0.000908
  BS         15     1.176091    0.227359  0.000002   0.000095   0.000045
  B@          4     0.602060    0.116389  0.000001   0.000025   0.000013
  BT         10     1.000000    0.193318  0.000002   0.000064   0.000031
  BU      23331     4.367933    0.844399  0.003764   0.148408   0.030313
  B"       5775     3.761552    0.727175  0.000932   0.036735   0.009380
  BV          0     0.000000    0.000000  0.000000   0.000000   0.000000
  BY          4     0.602060    0.116389  0.000001   0.000025   0.000013
  BZ         50     1.698970    0.328441  0.000008   0.000318   0.000136
  Bb        202     2.305351    0.445665  0.000033   0.001285   0.000486

  CA      17638     4.246449    0.820914  0.002845   0.341068   0.024065
  CB         94     1.973128    0.381441  0.000015   0.001818   0.000243
  CC        102     2.008600    0.388298  0.000016   0.001972   0.000261
  C›          2     0.301030    0.058194  0.000000   0.000039   0.000007
  CD        101     2.004321    0.387471  0.000016   0.001953   0.000259
  CE      15969     4.203278    0.812568  0.002576   0.308795   0.022157
  CF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  CG          0     0.000000    0.000000  0.000000   0.000000   0.000000
  C!          3     0.477121    0.092236  0.000000   0.000058   0.000010
  CH         20     1.301030    0.251512  0.000003   0.000387   0.000059
  CI       4737     3.675503    0.710540  0.000764   0.091600   0.007912
  C$       4556     3.658584    0.707269  0.000735   0.088100   0.007651
  CJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  CK         19     1.278754    0.247206  0.000003   0.000367   0.000056
  CL         64     1.806180    0.349167  0.000010   0.001238   0.000171
  CM         21     1.322219    0.255608  0.000003   0.000406   0.000062
